"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
418,"downward",120,120,,1.25,"Motion"
418,"upward",30,30,,1.166666667,"Motion"
418,"upward",60,60,,1.333333333,"Motion"
418,"upward",90,90,,1.333333333,"Motion"
418,"upward",120,120,,1.283333333,"Motion"
419,"downward",30,30,,1.033333333,"Motion"
419,"downward",60,60,,1.05,"Motion"
419,"downward",90,90,,1.0,"Motion"
419,"downward",120,120,,0.983333333,"Motion"
419,"upward",30,30,,1.133333333,"Motion"
419,"upward",60,60,,1.133333333,"Motion"
419,"upward",90,90,,1.133333333,"Motion"
419,"upward",120,120,,1.133333333,"Motion"
420,"downward",30,30,,1.02,"Motion"
420,"downward",60,60,,1.08,"Motion"
420,"downward",90,90,,1.033333333,"Motion"
420,"downward",120,120,,0.933333333,"Motion"
420,"upward",30,30,,1.15,"Motion"
420,"upward",60,60,,1.22,"Motion"
420,"upward",90,90,,1.3,"Motion"
420,"upward",120,120,,1.34,"Motion"
421,"downward",30,30,,1.533333333,"Motion"
421,"downward",60,60,,1.533333333,"Motion"
421,"downward",90,90,,1.583333333,"Motion"
421,"downward",120,120,,1.35,"Motion"
421,"upward",30,30,,1.283333333,"Motion"
421,"upward",60,60,,1.616666667,"Motion"
421,"upward",90,90,,1.6,"Motion"
421,"upward",120,120,,1.716666667,"Motion"
422,"downward",30,30,,1.15,"Motion"
422,"downward",60,60,,1.133333333,"Motion"
422,"downward",90,90,,1.316666667,"Motion"
422,"downward",120,120,,1.2,"Motion"
422,"upward",30,30,,1.166666667,"Motion"
422,"upward",60,60,,1.283333333,"Motion"
422,"upward",90,90,,1.133333333,"Motion"
422,"upward",120,120,,1.35,"Motion"
423,"downward",30,30,,1.066666667,"Motion"
423,"downward",60,60,,1.1,"Motion"
423,"downward",90,90,,1.216666667,"Motion"
423,"downward",120,120,,1.166666667,"Motion"
423,"upward",30,30,,1.166666667,"Motion"
423,"upward",60,60,,1.183333333,"Motion"
423,"upward",90,90,,1.283333333,"Motion"
423,"upward",120,120,,1.5,"Motion"
424,"downward",30,30,,1.15,"Motion"
424,"downward",60,60,,1.366666667,"Motion"
424,"downward",90,90,,1.533333333,"Motion"
424,"downward",120,120,,1.516666667,"Motion"
424,"upward",30,30,,1.166666667,"Motion"
424,"upward",60,60,,1.283333333,"Motion"
424,"upward",90,90,,1.316666667,"Motion"
424,"upward",120,120,,1.333333333,"Motion"
425,"downward",30,30,,1.04,"Motion"
425,"downward",60,60,,1.025,"Motion"
425,"downward",90,90,,0.96,"Motion"
425,"downward",120,120,,0.9,"Motion"
425,"upward",30,30,,1.06,"Motion"
425,"upward",60,60,,1.366666667,"Motion"
425,"upward",90,90,,1.25,"Motion"
425,"upward",120,120,,1.425,"Motion"
426,"downward",30,30,,1.25,"Motion"
426,"downward",60,60,,1.666666667,"Motion"
426,"downward",90,90,,1.45,"Motion"
426,"downward",120,120,,1.233333333,"Motion"
426,"upward",30,30,,1.45,"Motion"
426,"upward",60,60,,1.716666667,"Motion"
426,"upward",90,90,,1.683333333,"Motion"
426,"upward",120,120,,2.016666667,"Motion"
427,"downward",30,30,,1.26,"Motion"
427,"downward",60,60,,1.5,"Motion"
427,"downward",90,90,,1.966666667,"Motion"
427,"downward",120,120,,2.175,"Motion"
427,"upward",30,30,,1.3,"Motion"
427,"upward",60,60,,1.183333333,"Motion"
427,"upward",90,90,,1.55,"Motion"
427,"upward",120,120,,2.266666667,"Motion"
428,"downward",30,30,,1.1,"Motion"
428,"downward",60,60,,1.033333333,"Motion"
428,"downward",90,90,,1.066666667,"Motion"
428,"downward",120,120,,1.116666667,"Motion"
428,"upward",30,30,,1.116666667,"Motion"
428,"upward",60,60,,1.166666667,"Motion"
428,"upward",90,90,,1.283333333,"Motion"
428,"upward",120,120,,1.283333333,"Motion"
