"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
420,"downward",30,30,,1.066666667,"Static"
420,"downward",60,60,,1.066666667,"Static"
420,"downward",90,90,,1.05,"Static"
420,"downward",120,120,,1.033333333,"Static"
420,"upward",30,30,,1.083333333,"Static"
420,"upward",60,60,,1.133333333,"Static"
420,"upward",90,90,,1.1,"Static"
420,"upward",120,120,,1.133333333,"Static"
421,"downward",30,30,,1.016666667,"Static"
421,"downward",60,60,,1.016666667,"Static"
421,"downward",90,90,,1.016666667,"Static"
421,"downward",120,120,,1.033333333,"Static"
421,"upward",30,30,,1.066666667,"Static"
421,"upward",60,60,,1.066666667,"Static"
421,"upward",90,90,,1.083333333,"Static"
421,"upward",120,120,,1.116666667,"Static"
422,"downward",30,30,,1.0,"Static"
422,"downward",60,60,,0.983333333,"Static"
422,"downward",90,90,,1.016666667,"Static"
422,"downward",120,120,,0.966666667,"Static"
422,"upward",30,30,,1.133333333,"Static"
422,"upward",60,60,,1.083333333,"Static"
422,"upward",90,90,,1.166666667,"Static"
422,"upward",120,120,,1.15,"Static"
423,"downward",30,30,,0.983333333,"Static"
423,"downward",60,60,,1.3,"Static"
423,"downward",90,90,,1.4,"Static"
423,"downward",120,120,,0.933333333,"Static"
423,"upward",30,30,,1.25,"Static"
423,"upward",60,60,,1.166666667,"Static"
423,"upward",90,90,,1.433333333,"Static"
423,"upward",120,120,,1.233333333,"Static"
424,"downward",30,30,,1.116666667,"Static"
424,"downward",60,60,,1.1,"Static"
424,"downward",90,90,,1.1,"Static"
424,"downward",120,120,,1.016666667,"Static"
424,"upward",30,30,,1.0,"Static"
424,"upward",60,60,,1.0,"Static"
424,"upward",90,90,,1.033333333,"Static"
424,"upward",120,120,,1.1,"Static"
425,"downward",30,30,,0.883333333,"Static"
425,"downward",60,60,,0.95,"Static"
425,"downward",90,90,,0.933333333,"Static"
425,"downward",120,120,,0.85,"Static"
425,"upward",30,30,,1.1,"Static"
425,"upward",60,60,,1.25,"Static"
425,"upward",90,90,,1.183333333,"Static"
425,"upward",120,120,,1.15,"Static"
426,"downward",30,30,,1.316666667,"Static"
426,"downward",60,60,,1.566666667,"Static"
426,"downward",90,90,,2.3,"Static"
426,"downward",120,120,,2.1,"Static"
426,"upward",30,30,,1.7,"Static"
426,"upward",60,60,,1.9,"Static"
426,"upward",90,90,,2.2,"Static"
426,"upward",120,120,,2.3,"Static"
427,"downward",30,30,,1.56,"Static"
427,"downward",60,60,,1.866666667,"Static"
427,"downward",90,90,,1.866666667,"Static"
427,"downward",120,120,,1.74,"Static"
427,"upward",30,30,,1.6,"Static"
427,"upward",60,60,,1.3,"Static"
427,"upward",90,90,,1.583333333,"Static"
427,"upward",120,120,,1.966666667,"Static"
428,"downward",30,30,,1.05,"Static"
428,"downward",60,60,,1.066666667,"Static"
428,"downward",90,90,,1.066666667,"Static"
428,"downward",120,120,,1.066666667,"Static"
428,"upward",30,30,,1.083333333,"Static"
428,"upward",60,60,,1.133333333,"Static"
428,"upward",90,90,,1.116666667,"Static"
428,"upward",120,120,,1.15,"Static"
429,"downward",30,30,,1.083333333,"Static"
429,"downward",60,60,,1.05,"Static"
429,"downward",90,90,,0.9,"Static"
429,"downward",120,120,,1.033333333,"Static"
429,"upward",30,30,,1.06,"Static"
